GEO.id2,HD01_VD18
Id2,Income Females: - Bachelor's degree
95018,43000
95019,12304
95020,62206
95023,51625
95030,63750
95032,58510
95033,61750
95035,51369
95037,53328
95039,145125
95041,-
95043,28750
95045,34688
95046,37131
95050,43682
95051,53356
95053,-
95054,53810
95060,43336
95062,33351
95064,19440
95065,40778
95066,48967
95070,57421
95073,22429
95075,130500
95076,33026
95110,46953
95111,44767
95112,47146
95113,33654
95116,42755
95117,55694
95118,67145
95119,68304
95120,70156
95121,50862
95122,38389
95123,55380
95124,72123
95125,66583
95126,54531
95127,52575
95128,54258
95129,56331
95130,68398
95131,61280
95132,54808
95133,61811
95134,58197
95135,69740
95136,53649
95138,68222
95139,57963
95140,-
95148,62799
95202,65208
95203,33438
95204,42982
95205,26042
95206,38079
95207,47473
95209,51149
95210,35240
95211,-
95212,46042
95215,40559
95219,48977
95220,22250
95222,37500
95223,42551
95224,-
95225,-
95226,-
95227,"2,500-"
95228,-
95230,12330
95231,35455
95232,-
95233,-
95234,-
95236,45395
95237,36875
95240,43275
95242,43472
95245,58482
95246,79535
95247,43047
95248,-
95249,24276
95250,-
95251,-
95252,51632
95254,72847
95255,-
95257,30333
95258,32120
95301,57857
95303,64583
95304,42321
95305,-
95306,-
95307,40227
95310,43419
95311,9205
95312,-
95313,51036
95314,-
95315,48583
95316,53750
95317,16250
95318,52865
95319,-
95320,45500
95321,16193
95322,22830
95323,12143
95324,24917
95325,-
95326,60063
95327,39706
95328,31094
95329,45865
95330,34734
95333,43750
95334,38409
95335,3438
95336,47808
95337,46971
95338,17917
95340,51010
95341,35870
95345,-
95346,-
95348,47312
95350,52703
95351,22055
95354,34375
95355,47313
95356,43750
95357,27438
95358,44750
95360,26200
95361,47352
95363,51375
95364,-
95365,31296
95366,67393
95367,49792
95368,31333
95369,14167
95370,43607
95372,-
95374,-
95375,-
95376,51397
95377,40423
95379,61964
95380,42857
95382,52744
95383,68774
95385,-
95386,41389
95387,-
95388,31500
95389,74412
95391,43476
95401,42484
95403,46607
95404,42143
95405,41815
95407,42500
95409,44224
95410,14668
95412,"2,500-"
95415,30735
95417,-
95420,11719
95421,50125
95422,33976
95423,62534
95425,42911
95426,56369
95427,-
95428,30603
95429,-
95430,-
95431,-
95432,7356
95435,-
95436,44821
95437,33654
95439,37813
95441,28333
95442,67727
95443,-
95444,6513
95445,16369
95446,30129
95448,46535
95449,43125
95450,31786
95451,30000
95452,62679
95453,28333
95454,23487
95456,50938
95457,43088
95458,-
95459,39063
95460,19844
95461,48667
95462,11250
95463,-
95464,9615
95465,31250
95466,-
95467,58942
95468,41359
95469,30938
95470,43281
95471,-
95472,40033
95476,41081
95482,39540
95485,18036
95486,-
95488,-
95490,33828
95492,50089
95493,-
95494,-
95497,-
95501,27250
95503,25039
95511,-
95514,-
95519,32295
95521,24355
95524,23409
95525,36875
95526,4286
95527,"2,500-"
95528,46563
95531,55781
95536,21750
95537,-
95540,36761
95542,12782
95543,-
95545,-
95546,31528
95547,30417
95548,29500
95549,23438
95550,6161
95551,51750
95552,-
95553,40139
95554,-
95555,-
95556,31583
95558,17708
95559,-
95560,50743
95562,31495
95563,-
95564,22000
95565,28182
95567,15000
95568,-
95569,-
95570,29500
95571,-
95573,-
95585,22143
95587,-
95589,16213
95595,-
95601,26591
95602,48258
95603,43243
95604,-
95605,36333
95606,-
95607,51667
95608,44336
95610,40564
95612,70417
95614,51106
95615,42422
95616,28895
95618,44315
95619,31667
95620,45714
95621,39070
95623,36944
95624,53576
95625,-
95626,49107
95627,41250
95628,51917
95629,-
95630,53507
95631,44440
95632,55383
95633,45740
95634,54931
95635,40964
95636,-
95637,87941
95638,61250
95639,-
95640,48884
95641,62500
95642,60568
95645,62250
95646,-
95648,53799
95650,66333
95651,60625
95652,31953
95653,-
95655,53333
95658,33750
95659,49583
95660,29311
95661,41997
95662,48803
95663,23452
95664,111083
95665,42136
95666,14464
95667,39073
95668,39583
95669,63438
95670,39797
95672,31500
95673,41667
95674,31563
95675,-
95677,53807
95678,52165
95679,-
95680,-
95681,33227
95682,48822
95683,47813
95684,28949
95685,27586
95686,-
95687,52297
95688,66798
95689,58563
95690,61458
95691,53336
95692,50893
95693,24219
95694,32825
95695,45357
95697,-
95698,-
95699,-
95701,26563
95703,60500
95709,65909
95713,41681
95714,35500
95715,-
95717,-
95720,-
95721,-
95722,39539
95724,-
95726,24574
95728,17500
95735,-
95736,-
95742,52202
95746,53873
95747,58839
95757,53802
